Batting Average,Home Runs,RBIs,Runs Scored,Stolen Bases,Salary
0.132,0,0,8,0,2875000
0.205,15,61,40,2,645000
0.255,15,55,65,13,10000000
0.105,0,1,3,1,555000
0.231,14,37,29,3,2060000
0.244,10,42,30,1,1800000
0.182,1,6,5,0,555000
0.237,2,7,6,0,1000000
0.163,3,6,6,1,559800
0.267,2,10,7,0,556300
0.26,25,76,84,14,605000
0.235,7,25,35,6,1200000
0.224,5,11,14,0,559320
0.188,2,18,11,0,555000
0.158,1,2,2,1,555000
0.265,10,44,56,7,5000000
0.219,16,37,41,7,6000000
0.202,1,8,12,5,1000000
0.277,38,92,129,25,10500000
0.203,2,8,10,1,675000
0.284,6,53,52,11,555000
0.185,0,0,0,0,578000
0.233,15,44,56,8,600000
0.211,10,28,34,6,2212500
0.22,8,39,31,0,2500000
0.216,7,22,28,1,559000
0.254,4,24,38,4,3850000
0.244,8,23,27,4,570000
0.202,9,24,19,0,900000
0.261,6,22,26,14,4825000
0.251,6,39,43,2,5250000
0.288,6,42,38,7,5150000
0.25,8,37,41,3,2000000
0.231,9,36,28,0,560000
0.242,13,48,34,1,1250000
0.182,1,3,2,0,573200
0.19,0,7,10,3,555000
0.247,29,84,85,2,575000
0.238,8,30,24,0,1500000
0.284,1,11,9,0,556700
0.167,0,4,4,1,545000
0.333,1,1,4,2,555000
0.189,1,5,3,0,555000
0.156,2,5,8,0,555000
0.143,0,1,1,1,555000
0.224,1,6,33,21,6000000
0.235,16,58,46,1,556700
0.194,10,25,37,0,20000000
0.263,0,8,7,1,507500
0.177,5,22,30,1,3000000
0.31,23,92,86,4,9775000
0.267,1,1,2,0,507500
0.23,12,35,45,1,1750000
0.266,1,19,23,0,1350000
0.116,3,9,14,3,512500
0.223,8,23,16,1,568600
0.227,8,30,34,0,4000000
0.259,6,15,17,1,7250000
0.337,1,17,9,0,7250000
0.267,23,63,60,15,9700000